Year	Printed Textiles on Which Taxes Were Levied (in Yards)
1713	2030000
1714	2580000
1715	1840000
1716	2500000
1717	2650000
1718	2690000
1719	2840000
1720	1670000
1721	1050000
1722	1590000
1723	3060000
1724	2890000
1725	2760000
1726	2900000
1727	2860000
1728	2220000
1729	2680000
1730	2280000
1731	2120000
1732	2430000
1733	2920000
1734	2790000
1735	3000000
1736	2630000
1737	3060000
1738	3150000
1739	3220000
1740	3120000
1741	3030000
1742	2770000
1743	3060000
1744	3040000
1745	2630000
1746	2730000
1747	3530000
1748	3220000
1749	4000000
1750	4420000
1751	4220000
1752	4210000
1753	4230000
1754	4390000
1755	4930000
1756	4210000
1757	4180000
1758	5140000
1759	5700000
1760	6360000
