Year	Total Textile Imports from India (Indexed)	Printed Cloth on Which Taxes Were Levied (Indexed)
1664	45.45	NA
1665	48.44	NA
1666	1.19	NA
1667	25.53	NA
1668	1.16	NA
1669	39.68	NA
1670	69.7	NA
1671	88.59	NA
1672	92.54	NA
1673	101.26	NA
1674	71.85	NA
1675	41.2	NA
1676	111.9	NA
1677	86.14	NA
1678	107.48	NA
1679	126.25	NA
1680	121.66	NA
1681	112.33	NA
1682	133.43	NA
1683	153.3	NA
1684	131.66	NA
1685	128.96	NA
1686	120.06	NA
1687	160.01	NA
1688	100.02	NA
1689	58.32	NA
1690	35.01	NA
1691	16.64	NA
1692	9.36	NA
1693	30.48	NA
1694	44.27	NA
1695	19.82	NA
1696	33.12	NA
1697	36.5	NA
1698	99.46	NA
1699	49.97	NA
1700	14.15	NA
1701	103.02	NA
1702	50.54	NA
1703	41.22	NA
1704	10.96	NA
1705	25.01	NA
1706	33.52	NA
1707	28.03	NA
1708	24.59	NA
1709	41.13	NA
1710	79.29	NA
1711	92.6	NA
1712	100.85	NA
1713	100	100
1714	104.84	127.09
1715	58.26	90.64
1716	69.15	123.15
1717	76.83	130.54
1718	61.07	132.51
1719	123.75	139.9
1720	112.07	82.27
1721	124.79	51.72
1722	94.14	78.33
1723	144.42	150.74
1724	155.17	142.36
1725	121.5	135.96
1726	144.62	142.86
1727	172.61	140.89
1728	106.54	109.36
1729	136.77	132.02
1730	99.23	112.32
1731	122.26	104.43
1732	122.3	119.7
1733	111.8	143.84
1734	148.81	137.44
1735	163.84	147.78
1736	121.48	129.56
1737	103.24	150.74
1738	116.58	155.17
1739	146.47	158.62
1740	105.7	153.69
1741	163.68	149.26
1742	159.86	136.45
1743	136.03	150.74
1744	109.61	149.75
1745	131.41	129.56
1746	143.2	134.48
1747	125.07	173.89
1748	81.05	158.62
1749	87.43	197.04
1750	120.95	217.73
1751	114.35	207.88
1752	103	207.39
1753	101.45	208.37
1754	85.22	216.26
1755	90.01	242.86
1756	98.1	207.39
1757	52.2	205.91
1758	70.32	253.2
1759	79.83	280.79
1760	55.64	313.3
