Year	Total Indian Textiles imported to England	Baft %	Baftas (coloured) %	Baftas (white) %	Bandannoes %	Bettelles %	Boralchowders %	Byram % Pauts % 	Carridarries %	Cheiloes %	Chilleas %	Chintz %	Coopees (white) %	Cossaes (white) %	Cuttanees (white) %	Derebands (white) %	Doreas %	Dosooties (white) %	Dungarees %	Elatches %	Emerties (white) %	Ginghams %	Gurrahs (white) %	Guinea Stuffs %	Humhums (white) %	Lacowries (white) %	Long Cloth (white) %	Mercoolees (white) %	Moorees (white) %	Cotton Fabrics %	Nilleas %	Pallampores %	Pautkeys %	Percalles (white) %	Photaes %	Romalls %	Sail Cloth (white) %	Sallamporees (white) %	Sallowes (white) %	Sannoes (white) %	Seerbettees (white) %	Silk Lungees %	Sooseys %	Sovaguzzies (white) %	Taffetas (white) %	Tanjeebs (white) %
1664	273647	NA	NA	8.1	NA	4	NA	NA	NA	NA	NA	12	NA	NA	NA	5.8	NA	NA	NA	NA	NA	NA	NA	10.1	NA	NA	8.2	NA	6.1	NA	NA	NA	NA	6.1	NA	NA	NA	15.6	NA	NA	NA	NA	NA	NA	5.4	NA
1665	291666	NA	NA	10.1	NA	7.3	NA	NA	NA	NA	NA	3	NA	NA	NA	7.1	NA	NA	6.7	NA	NA	NA	NA	8.2	NA	NA	6.2	NA	NA	NA	NA	NA	NA	6.5	NA	NA	NA	12.6	NA	NA	NA	NA	NA	10.6	3.9	NA
1666	7141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100	NA	NA	NA	NA	NA	NA
1667	153714	NA	NA	28.6	NA	NA	NA	NA	NA	NA	NA	1.6	NA	NA	NA	17.8	NA	NA	NA	NA	NA	NA	NA	10.7	NA	NA	1.7	NA	NA	NA	NA	NA	9.4	NA	NA	NA	NA	4.7	3.5	NA	NA	NA	NA	5.5	NA	NA
1668	6962	NA	53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	NA	NA
1669	238900	NA	NA	23.9	NA	NA	NA	NA	NA	NA	NA	2.9	NA	NA	NA	11.6	NA	NA	NA	NA	NA	NA	NA	9.6	NA	NA	13.5	6.2	NA	NA	NA	NA	6	NA	NA	NA	NA	6.2	NA	NA	NA	NA	NA	5.5	NA	NA
1670	419672	NA	NA	24.5	NA	NA	NA	NA	NA	NA	NA	1.8	NA	NA	NA	3.8	NA	NA	NA	NA	NA	NA	NA	8.7	NA	NA	12	NA	7.8	NA	NA	NA	4.3	NA	NA	NA	NA	17.2	NA	NA	NA	NA	NA	4.3	NA	NA
1671	533406	NA	NA	21	NA	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13.6	NA	NA	NA	NA	10.9	NA	NA	2.8	NA	NA	NA	NA	NA	10.5	2.6	NA	NA	NA	7.3	NA	3.4	NA	NA	NA	5	2.2	NA
1672	557178	NA	NA	7.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.9	NA	NA	NA	NA	11.6	NA	NA	5.9	NA	4.2	NA	NA	NA	3.5	6.9	NA	NA	NA	16.7	NA	6.6	NA	NA	NA	4.7	4.7	NA
1673	609710	NA	NA	7.3	NA	NA	NA	NA	NA	NA	NA	8.1	NA	NA	NA	3.6	NA	NA	5.4	NA	NA	NA	NA	6.2	NA	NA	10.9	NA	NA	NA	NA	NA	8	NA	NA	NA	NA	9.6	NA	6.9	NA	NA	NA	10.3	3.8	NA
